"Name","Year","origin"
"walid abdel maksoud",2008,"Arabic"
"amir abdel meguid",1984,"Arabic"
"mohamed abdel mohamed",1992,"Arabic"
"karim abdel mohsen",2004,"Arabic"
"awad abdel nabi awad",1972,"Arabic"
"ahmed abdel naeim",2008,"Arabic"
"ali abdel radi",1964,"Arabic"
"mohamed fathallah abdel rahman",1936,"Arabic"
"fathi ali abdel rahman",1952,"Arabic"
"khaled abdel rahman",1984,"Arabic"
"yasser abdel rahman sakr",2008,"Arabic"
"samy abdel razek",2008,"Arabic"
"mohamed youssef abdel razik",1992,"Arabic"
"ibrahim ahmed abdel rehim",2004,"Arabic"
"kamal abdel rehim",2000,"Arabic"
"reskalla mohamed abdel rehim",2000,"Arabic"
"ahmed ali abdel samad",2000,"Arabic"
"ali abdel sami",1964,"Arabic"
"sameh abdel waress muhammad",1996,"Arabic"
"mohamed said abdel wehab",1976,"Arabic"
"mahmoud abdelaal",1948,"Arabic"
"mohamed abdelel",1948,"Arabic"
"shaimaa abdellatifhashad",2004,"Arabic"
"ahmed abdelaal",2016,"Arabic"
"mahmoud abdelaal",2016,"Arabic"
"mohamed ali abdelaal",2016,"Arabic"
"moustafa abdelal",1948,"Arabic"
"mahmod abdelaly",2008,"Arabic"
"ibrahim ramadan ibrahim abdelbaki",2012,"Arabic"
"aziza abdelfattah",2008,"Arabic"
"magdi abdelghani sayed ahmed",1984,"Arabic"
"ragab abdelhay saad abdelrazek abdallah",2012,"Arabic"
"mohamed abdellah",2004,"Arabic"
"ayoub abdellaoui",2016,"Arabic"
"leila abdelmoez",2016,"Arabic"
"sayed abdelmonem sayed hamed",2012,"Arabic"
"ahmed abdelrahman",2016,"Arabic"
"ihab abdelrahman elsayed abdelrahman",2012,"Arabic"
"raouf abdelraouf",2000,"Arabic"
"abouelfetoh abdelrazek",2008,"Arabic"
"mamdouh abdelrehim",2016,"Arabic"
"elhachemi abdenouz",1980,"Arabic"
"rda abdenouz",1988,"Arabic"
"mouni abderrahim",2008,"Arabic"
"saeid morad abdevali",2012,"Persian"
"mahmoud ahmed abdin",1928,"Arabic"
"nasrollah abdollahi",1976,"Persian"
"moustafa ahmed ismail abdou ali arfah",1984,"Arabic"
"raouf abdou",2004,"Arabic"
"mohamed abdou elsouad",1988,"Arabic"
"alaa eldin abdoun",1988,"Arabic"
"ibrahim abdrabbou",1952,"Arabic"
"chairil anwar abdul aziz",1996,"SouthEastAsia"
"shaimaa abdul aziz",2000,"Arabic"
"mohamed abdul hadj",1992,"SouthEastAsia"
"s abdul hamid",1928,"India"
"mohamed abed abdul jawad",1984,"Arabic"
"anouar abdul kader",1980,"Arabic"
"majed ahmed abdul mohamed",1984,"Arabic"
"firouz abdul mohammadian",1976,"Persian"
"hussam abdul rahman",1984,"Arabic"
"zambrose abdul rahman",1968,"SouthEastAsia"
"rauf abdul seoud",1936,"Arabic"
"samir ahmed abdul shakour",1984,"Arabic"
"nabil abdul tahlak",1996,"Arabic"
"patmawati abdul wahid",2004,"SouthEastAsia"
"mona ahmad abdulaziz hassanein",2012,"Arabic"
"gamal ahmed abdulla",1992,"Arabic"
"mohamed sayed abdulla",1992,"Arabic"
"ahmed ghanim abdullah",1988,"Arabic"
"magdy ahmed abdullah",1992,"Arabic"
"mohamed abdullah",1988,"Arabic"
"mohamed samy abdullah",1984,"Arabic"
"tewfik abdullah",1920,"Arabic"
"wan azlan abdullah",1996,"SouthEastAsia"
"abir abdulrahman khalil mahmoud khalil",2008,"Arabic"
"amer abdulrahman abdallah hussain alhammadi",2012,"Arabic"
"omar abdulrahman ahmad alraaqi alamoudi",2012,"Arabic"
"shaza yahia nazih abdulrahman elsayed",2008,"Arabic"
"mohamed abdultwab ibrahim abd elbaki",2008,"Arabic"
"adlan aliyevich abdurashidov",2016,"Slavic-Russian"
"isao ko abe",1936,"Japan"
"kazuo abe",1960,"Japan"
"kinya abe",1992,"Japan"
"kiyoshi abe",1972,"Japan"
"masashi abe",1988,"Japan"
"naoki abe",1968,"Japan"
"osamu abe",1936,"Japan"
"shigeaki abe",1972,"Japan"
"shinnosuke abe",2000,"Japan"
"sanshiro sonny abe",1996,"Japan"
"tadashi abe",1984,"Japan"
"tadatoshi abe",1960,"Japan"
"wakako abe",1984,"Japan"
"yoshiyuki abe",2000,"Japan"
"yuki abe",2004,"Japan"
"benaissa abed",1988,"Arabic"
"soha abed elaal",2008,"Arabic"
"mojtaba abedini shormasti",2012,"Persian"
"jos javier abella fanjul",2016,"Hispanic-Iberian"
"mohamed aberhoune",2012,"Arabic"
"salim abes",1996,"Arabic"
"elvan abeylegesse",2004,"Turkey"
"haithem abid",1988,"Arabic"
"mitsuhiro abiko",2008,"Japan"
"tomomi abiko",2012,"Japan"
"inga eduardovna abitova",2008,"Slavic-Russian"
"enver nazymovych ablaiev",2002,"Slavic-Russian"
"denis mikhaylovich ablyazin",2012,"Slavic-Russian"
"abdelhalim muhammad abou",2016,"Arabic"
"ashraf abou elhassan",2000,"Arabic"
"galal eldin abdel meguid abou elkheir",1952,"Arabic"
"magdy abou elmagd",2000,"Arabic"
"essameldin abou elnein",1984,"Arabic"
"abdel khlik abou elyazi",1992,"Arabic"
"mohamed moustafa abou elea",2000,"Arabic"
"mahmoud abou elelaa",1984,"Arabic"
"mohammed tawfiq abou habaga",1948,"Arabic"
"zaid abou hamed",2000,"Arabic"
"youssef kamel mohamed abou ouf",1948,"Arabic"
"gaber mooti abou zeid",1976,"Arabic"
"taher abou zeid sayid amer",1984,"Arabic"
"ahmed farid aboushadi",1948,"Arabic"
"zakaria aboub",2000,"Arabic"
"kamel aboud",1984,"Arabic"
"rabah aboud",2012,"Arabic"
"mamdouh taha alhusseini abouebaid",2016,"Arabic"
"alaaeldin ahmad elsayyid abouelkassem",2012,"Arabic"
"haysam farouk abouelw",1992,"Arabic"
"waguih rauf aboul seoud",1968,"Arabic"
"elsayed aboumedan",2004,"Arabic"
"mohamed mohamed mohamed aboutrika",2012,"Arabic"
"shiny kurisingal abrahamwilson",1984,"India"
"yelena vasilyevna abramchuk kopets",2016,"Slavic-Russian"
"oleksandr volodymyrovych abramenko",2006,"Slavic-Russian"
"yevgeny sergeyevich abramenko",2010,"Slavic-Russian"
"lahcen abrami",1992,"Arabic"
"andrey viktorovich abramov",2008,"Slavic-Russian"
"pavel sergeyevich abramov",2004,"Slavic-Russian"
"sergey mikhaylovich abramov",1994,"Slavic-Russian"
"yekaterina konstantinovna abramova",2006,"Slavic-Russian"
"alen abramovi",2006,"Balkans"
"anastasiya aleksandrovna abrosimova",2016,"Slavic-Russian"
"svetlana olegovna abrosimova",2000,"Slavic-Russian"
"aleksandr viktorovich sasha abt",2002,"Slavic-Russian"
"najmeh abtin",2008,"Persian"
"mohamed ahmed abu ali",1984,"Arabic"
"methkal marouf abu drais",2012,"Arabic"
"lailin abu hassan",1992,"SouthEastAsia"
"mohamed ahmed abu sobea",1936,"Arabic"
"omar abufares",2000,"Arabic"
"abudoureheman",2000,"China"
"ahmad abughaush",2016,"Arabic"
"ginko abukawachiba",1960,"Japan"
"mohammad abulibdeh",2012,"Arabic"
"kariman abuljadayel",2016,"Arabic"
"jos manuel abundis sandoval",1996,"Hispanic-Iberian"
"shigeru aburaya",2004,"Japan"
"cristobal alejandro aburto tinoco",2004,"Hispanic-Iberian"
"ali abuzamia",1988,"Arabic"
"irina alekseyevna abysova",2008,"Slavic-Russian"
"srr acar",1968,"Turkey"
"e doan acarbay",1948,"Turkey"
"daniel aceves villagrn",1984,"Hispanic-Iberian"
"roberto aceves villagrn",1984,"Hispanic-Iberian"
"mohamed ali achacheloi",1976,"Persian"
"mustapha achab",1992,"Arabic"
"karem faride achach ramrez",2016,"Hispanic-Iberian"
"sharath kamal achanta",2004,"India"
"abdel hak achik",1988,"Arabic"
"mohamed abdelhak achik",1988,"Arabic"
"ahmed mohamed achouche",1984,"Arabic"
"dallal merwa achour",2012,"Arabic"
"khaled achour",1976,"Arabic"
"haykel alachouri",2008,"Arabic"
"said achtar",1980,"Arabic"
"alberto enrique acosta palma",1992,"Hispanic-Iberian"
"carlos acosta",1936,"Hispanic-Iberian"
"luis angel acosta",1968,"Hispanic-Iberian"
"luz mercedes acosta valdez",2008,"Hispanic-Iberian"
"ngel mudo acua lizana",1948,"Hispanic-Iberian"
"ricardo acua",1996,"Hispanic-Iberian"
"goro adachi",1932,"Japan"
"kiyoshi adachi",1936,"Japan"
"mariko adachi",2012,"Japan"
"miho adachi",2004,"Japan"
"seiya adachi",2016,"Japan"
"takumi adachi",1992,"Japan"
"yumi adachi",2012,"Japan"
"yurie adachi",2014,"Japan"
"ali enver adakan",2000,"Turkey"
"herman adam negrete",1988,"Hispanic-Iberian"
"moustafa adam",1988,"Arabic"
"mara teresa adames",1960,"Hispanic-Iberian"
"pirouz adamiyat",1972,"Persian"
"lyukman rasakovich adams",2012,"Slavic-Russian"
"yasemin adar",2016,"Turkey"
"orhan ada",1936,"Turkey"
"berkane lakhdar adda",1980,"Arabic"
"elie adda",1928,"Arabic"
"mehdi addadi",2000,"Arabic"
"irfan adelbi",1984,"Arabic"
"haydy morsy adil",2016,"Arabic"
"badathala adisekhar",1992,"India"
"hamdi adly elseoudi ibrahim",1976,"Arabic"
"sad admane",1980,"Arabic"
"khadour adnan",1996,"Arabic"
"mustapha adnane",1960,"Arabic"
"selvyana adriansofyan",1984,"SouthEastAsia"
"serhiy mykolaiovych advena",2004,"Slavic-Russian"
"rustam iwanovych adzhy",1996,"Slavic-Russian"
"carl bror emil kalle aejemelaeus im",1912,"Slavic-Russian"
"hamed afagh eslamieh",2008,"Persian"
"nikolay konstantinovich afanasyev",1996,"Slavic-Russian"
"kseniya dmitriyevna afanasyeva",2008,"Slavic-Russian"
"yelena aleksandrovna afanasyeva vlasova",1996,"Slavic-Russian"
"mustapha afandi",1984,"Arabic"
"khairulnizam mohd afendy",2012,"SouthEastAsia"
"ahmed afghan",1988,"Persian"
"ahmed afifi",2016,"Arabic"
"gharib afifi",1948,"Arabic"
"shimaa afifi",2000,"Arabic"
"maksim sergeyevich afinogenov",2002,"Slavic-Russian"
"madjid aflaki khamesh",2000,"Persian"
"marina anatolyevna aframeyeva",2016,"Slavic-Russian"
"mehrdad afsharian tarshiz",1992,"Persian"
"ibrahim afsharpour",1952,"Persian"
"mirza najib aga",1996,"India"
"karim elhusseini aga khan",1964,"Persian"
"alisa agafonova",2014,"Turkey"
"eldijana dana aganovi bentsen",1996,"Balkans"
"krikor agathon",1924,"Arabic"
"iwao ageishi",1932,"Japan"
"neha aggarwal",2008,"India"
"khoudir aggoune",2004,"Arabic"
"nasser aghaie",1964,"Persian"
"emanoul b aghasi agassian",1948,"Persian"
"seyyit ahmet aral",1968,"Turkey"
"slim agrebi",1996,"Arabic"
"dario aguilar gonzlez",1948,"Hispanic-Iberian"
"enrique aguilar zermeno",1996,"Hispanic-Iberian"
"irving jaime aguilar robles",1996,"Hispanic-Iberian"
"mariano i aguilar",1924,"Hispanic-Iberian"
"maximiliano aguilar salazar",1968,"Hispanic-Iberian"
"wendy aguilar",1996,"Hispanic-Iberian"
"tomas alonso aguilera armendariz",2016,"Hispanic-Iberian"
"carlos aguirre",1968,"Hispanic-Iberian"
"carlos aguirre",1976,"Hispanic-Iberian"
"damaris gabriela aguirre aldaz",2004,"Hispanic-Iberian"
"rick germain aguirre tafolla",2016,"Hispanic-Iberian"
"jess aguirre delgado",1924,"Hispanic-Iberian"
"jorge s aguirre martin",1948,"Hispanic-Iberian"
"sri wahyuni agustiani",2016,"SouthEastAsia"
"sabiahmad abdullah ahad",1984,"SouthEastAsia"
"younes alahamdi",2004,"Arabic"
"frederick anthony fred ahern",1948,"AngloSaxon"
"lahcen ahidous",1964,"Arabic"
"jahan ahir",1948,"India"
"jitendarjit singh ahluwalia",1980,"India"
"abbas ahmad",1948,"Arabic"
"mohamed ahmad ali gharib juma",2012,"Arabic"
"ramli ahmad",1976,"SouthEastAsia"
"tontowi ahmad",2012,"SouthEastAsia"
"yahya ahmad",1976,"SouthEastAsia"
"elaheh ahmadi",2012,"Persian"
"abdalla ahmed",2008,"Arabic"
"abdel latif ahmed",2008,"Arabic"
"adnan ahmed",2004,"Arabic"
"alaa eldin ahmed",2000,"Arabic"
"esraa ahmed elsayed",2016,"Arabic"
"ghofran ahmed zaki",2016,"Arabic"
"heba ahmed",2008,"Arabic"
"a hussain ahmed",1956,"India"
"mahmoud ahmed",2004,"Arabic"
"samia mohamed hagrass ahmed",2016,"Arabic"
"shakeel ahmed",1992,"India"
"shehabeldin ahmed saad ahmed saad",2012,"Arabic"
"ahn jinsoo",1992,"Korea"
"mohammad ahsan",2012,"SouthEastAsia"
"neha ahuja",2006,"India"
"herminio f ahumada ortiz",1924,"Hispanic-Iberian"
"ren ahumada rodrguez",1956,"Hispanic-Iberian"
"ai linuer",2004,"China"
"ai yanhan",2016,"China"
"mohamed alaich",2004,"Arabic"
"hideaki aida",1964,"Japan"
"aleksis aide",1912,"Slavic-Russian"
"mehdi aidet",1980,"Arabic"
"nobuyuki aihara",1956,"Japan"
"toyoyi aihara",1936,"Japan"
"yutaka aihara",1992,"Japan"
"ryoji aikawa",2004,"Japan"
"mongkol aimmanolrom",1956,"SouthEastAsia"
"tassadit assou",2008,"Arabic"
"rachid ait atmane",2016,"Arabic"
"hamid ait bighrade",2004,"Arabic"
"kamel ait daoud",2008,"Arabic"
"anasse at el abdia",2016,"Arabic"
"miloud ait hammi",2004,"Arabic"
"amina mina at hammou",2000,"Arabic"
"seltana at hammou",2004,"Arabic"
"makhlouf ait hocine",1988,"Arabic"
"ahmed ait moulay",1984,"Arabic"
"zied ait ouagram",2012,"Arabic"
"souad at salem mahourbacha",2004,"Arabic"
"brahim ait sibrahim",1984,"Arabic"
"artur surenovych aivazian",2000,"Slavic-Russian"
"hiroyasu aizawa",1980,"Japan"
"iwao aizawa",1928,"Japan"
"hctor aizpuro",1960,"Hispanic-Iberian"
"mozafar ajali",1992,"Persian"
"naasan ajjoub",1980,"Arabic"
"salem ajjoub",1980,"Arabic"
"ahmet ak",1988,"Turkey"
"yukiko akaba",2008,"Japan"
"ali akacha",1980,"Arabic"
"chieko akagi",1996,"Japan"
"kanji akagi",1956,"Japan"
"norihiro akahoshi",2000,"Japan"
"kosei akaishi",1984,"Japan"
"toshiro akamatsu",1964,"Japan"
"nasuh akar",1948,"Turkey"
"akiko akasaka",1972,"Japan"
"yuichi akasaka",1992,"Japan"
"hiroyuki akatsuka",1984,"Japan"
"aleksey nikolayevich akatyev",1996,"Slavic-Russian"
"shikashi akazawa",1960,"Japan"
"zdemir akbal",2000,"Turkey"
"ahmed akbari javid",1976,"Persian"
"ali akbarnejad",1992,"Persian"
"fahrettin akba",1952,"Turkey"
"fuat akba",1924,"Turkey"
"hseyin akba",1956,"Turkey"
"raif akbulut",1952,"Turkey"
"smail akay",1968,"Turkey"
"meryem mirriam jepchirchir akda mayo",2016,"Turkey"
"tark langat akda",2012,"Turkey"
"vehbi akda",1968,"Turkey"
"ahmet akdilek",2012,"Turkey"
"lknur akdoan",2000,"Turkey"
"metin akdurak",1964,"Turkey"
"bilal akgl",2008,"Turkey"
"brahim akgl",1984,"Turkey"
"sezer akgl",2008,"Turkey"
"taha akgl",2012,"Turkey"
"avni akgn",1952,"Turkey"
"svitlana viktorivna akhadova",2016,"Slavic-Russian"
"albina khamitovna akhatova",1998,"Slavic-Russian"
"mohamed reza akhlagh pasand",2004,"Persian"
"habibollah jomeh akhlaghi",2012,"Persian"
"davoud akhlagi safa",1964,"Persian"
"artur kamilevich akhmatkhuzin",2012,"Slavic-Russian"
"bakhtiyar shakhabutdinovich akhmedov",2008,"Slavic-Russian"
"ibad amirovich akhmedov",1996,"Slavic-Russian"
"mirabella viliamivna akhunu",2004,"Slavic-Russian"
"aleksandr akhyun",1912,"Slavic-Russian"
"tadahiro akiba",1996,"Japan"
"takeshi akiba",1968,"Japan"
"masahiro akimoto",1980,"Japan"
"andrey aleksandrovich akimov",1912,"Slavic-Russian"
"erdoan akn",1952,"Turkey"
"erika akiyama",1984,"Japan"
"teruyoshi akiyama",2016,"Japan"
"yasunari akiyama",1976,"Japan"
"yoshiko akiyama",1972,"Japan"
"lahcen samsam akka",1964,"Arabic"
"malika alakkaoui",2012,"Arabic"
"halil akka",2008,"Turkey"
"khadzhimurat magomedovich akkayev",2004,"Slavic-Russian"
"marina dazmirovna akobiya",2000,"Slavic-Russian"
"aleksandr akondinov",1912,"Slavic-Russian"
"balkrishan akotkar",1964,"India"
"mehmet akpnar",1972,"Turkey"
"ahmed akram abbas mahmoud",2016,"Arabic"
"youssef akrout",2012,"Arabic"
"anastasiya sergeyevna aksenova",2008,"Slavic-Russian"
"ltf aksoy",1936,"Turkey"
"bekir aksu",1968,"Turkey"
"semra aksu bayan",1984,"Turkey"
"kemal aksur",1948,"Turkey"
"nikolay aleksandrovich aksyonov",1996,"Slavic-Russian"
"sergey vladimirovich aksyutin",2004,"Slavic-Russian"
"hseyin akta",1968,"Turkey"
"serap akta",1996,"Turkey"
"yuliya yurivna akulenko",2004,"Slavic-Russian"
"marina sergeyevna akulova",2008,"Slavic-Russian"
"chie akutsu",2012,"Japan"
"kozu akutsu",1988,"Japan"
"naser al shami",2004,"Arabic"
"kamil alabbasi",1976,"Arabic"
"ali alabed",1988,"Arabic"
"hassan abdullah alabsi",1984,"Arabic"
"salem mouled musaid alahmadi",1996,"Arabic"
"abdul azim mohamed alaliwat",1988,"Arabic"
"ali ahmed alamri",2008,"Arabic"
"tariq ahmed alamri",2016,"Arabic"
"atallah alanazi",2016,"Arabic"
"bassam alansari",1988,"Arabic"
"safaq qaed alanzi",1984,"Arabic"
"ahmad alaosta",1992,"Arabic"
"dhaher alaryani",2012,"Arabic"
"sayed mohamed alasibi",1984,"Arabic"
"ahmed mahmoud alassiri",1976,"Arabic"
"mohamed juma alaswad almakhoun",1996,"Arabic"
"ali hamed alawasa",1984,"Arabic"
"wael alaydy",2008,"Arabic"
"bilal said mabrouk alazma",1972,"Arabic"
"abdul mohsen albagir",2004,"Arabic"
"jafar albagir",2004,"Arabic"
"sami albaker",1992,"Arabic"
"zouheir albalah",1988,"Arabic"
"ali mohamed albalooshi",2004,"Arabic"
"ayesha shahriyar mohammed albalooshi",2016,"Arabic"
"faisal abdullah albasam",1984,"Arabic"
"nada mohamed abdulzaher mohamed albedwawi",2016,"Arabic"
"mubarak muhammad salem albesher",2012,"Arabic"
"ahmad albishi",1984,"Arabic"
"hamdan awdah albishi",2000,"Arabic"
"hamed hamadan albishi",2000,"Arabic"
"hussain misfor albishi",1984,"Arabic"
"mohamed fahd albishi",1988,"Arabic"
"mohamed hamed albishi",1996,"Arabic"
"saad shetwy albishi",1976,"Arabic"
"mohamed albouhairi",1976,"Arabic"
"fadwa albouza",2008,"Arabic"
"sultan mubarak m aldawoodi",2008,"Arabic"
"humaid rashd alderei",2012,"Arabic"
"khuwaiter aldhaheri",1996,"Arabic"
"bonayan aldosari",1996,"Arabic"
"khaled aldosari",2000,"Arabic"
"khamis alowairan aldosari",1996,"Arabic"
"medhadi aldosari",1992,"Arabic"
"mohamed barak aldosari",1988,"Arabic"
"mohamed jaman aldosari",1972,"Arabic"
"muhaisin mubarak aljamaan aldosari",1984,"Arabic"
"nassar ali aldosari",1984,"Arabic"
"obeid aldosari",1996,"Arabic"
"said khalil aldosari",1972,"Arabic"
"saleh khalifa aldosari",1984,"Arabic"
"salman ghassan aldosari",1984,"Arabic"
"sami jasem aldosari",1984,"Arabic"
"youssef matouq aldosari",1988,"Arabic"
"ramzy alduhami",1996,"Arabic"
"mohsen hussain alduhaylib",2016,"Arabic"
"jaklein alduqom",1988,"Arabic"
"khaled aleid",1996,"Arabic"
"basma aleshosh",2004,"Arabic"
"mouteb alfaouri",1984,"Arabic"
"mohamed alfararjeh",2000,"Arabic"
"mostafa muhammad hisham muhammad salah abdulhamid algamel",2012,"Arabic"
"abdullah algarni",1996,"Arabic"
"fahad algeaid",2000,"Arabic"
"ali sulaiman alghazawi",1984,"Arabic"
"sultan abdulmajeed e alhabshi",2008,"Arabic"
"mansour soud alhamad",1984,"Arabic"
"ibrahim m alhamaidi",2004,"Arabic"
"hussain jamaan alhamdah",2012,"Arabic"
"ismail salem alhammadi",2012,"Arabic"
"khalil ahmed alhanahneh",2004,"Arabic"
"ibrahim alharbi",1996,"Arabic"
"khalid alharbi",2004,"Arabic"
"khuwaled alharthi",1984,"Arabic"
"matar alharthi",1988,"Arabic"
"mahmoud awad sress alhasini",1992,"Arabic"
"nadia rashad alhindi",1992,"Arabic"
"mohamed othman alhussein",1984,"Arabic"
"ayser alhyari",1984,"Arabic"
"ibrahim alidokht",1992,"Persian"
"adel mohamed aljabrin",1988,"Arabic"
"ali saleh aljadani",2000,"Arabic"
"mohamed aljahani",1996,"Arabic"
"obaid ahmed obaid aljasmi",2004,"Arabic"
"rashid ismail aljirbi",1984,"Arabic"
"abdullah abdulaziz aljoud",2012,"Arabic"
"mansour farhan aljuaid",1972,"Arabic"
"khaled alkaabi",2016,"Arabic"
"mohamed ayed alkafraini",2000,"Arabic"
"hamdan ismail muhammad alkamali",2012,"Arabic"
"obada alkasbeh",2016,"Arabic"
"khaled salman alkhalidi",1992,"Arabic"
"mohamed saleh alkhilaiwi",1996,"Arabic"
"ahmed alkudmani",2000,"Arabic"
"mufid saleh krim allawanseh",2000,"Arabic"
"abdullah roaei almabrouk",1972,"Arabic"
"ramzi almahrous",2004,"Arabic"
"ahmed bin hasher almaktoum",2000,"Arabic"
"latifah bint ahmed bin juma almaktoum",2008,"Arabic"
"maitha bint mohammed bin rashid almaktoum",2008,"Arabic"
"juma bin dalmouk bin juma bin maktoum almaktoum",2012,"Arabic"
"saeed bin hasher almaktoum",2000,"Arabic"
"mohamed ali almalky",1976,"Arabic"
"abdul aziz almarzoug",1996,"Arabic"
"ayoub almas",2000,"Arabic"
"jhila almasi",1976,"Persian"
"muneir almasri",1988,"Arabic"
"ibrahim nasser almatrooshi",1992,"Arabic"
"bader abdulrahman almuhana",2008,"Arabic"
"fahd mohamed almusaibeeh",1984,"Arabic"
"sayed almutairi bariq",1996,"Arabic"
"manhi hamd almutairy",1984,"Arabic"
"shaye musa alnafisa",1984,"Arabic"
"mohamed ahmed amer  alnahdi",1992,"Arabic"
"tatiana alnajar",2000,"Arabic"
"ali khamis rashid alneyadi",2000,"Arabic"
"gohar mohamed gohar alnil",1992,"Arabic"
"lubna alomair",2016,"Arabic"
"talak qashan alotaibi",1984,"Arabic"
"ibrahim mohamed alouiran",1988,"Arabic"
"moukheld mahil f aloutaibi",2008,"Arabic"
"abdul atif seif alqahtani",1972,"Arabic"
"alyan sultan ali alqahtani",1996,"Arabic"
"attiya shumrani alqahtani",1976,"Arabic"
"haji bakr alqahtani",1988,"Arabic"
"abbas alqaisoum",2012,"Arabic"
"mohamed alqasem",1996,"Arabic"
"saleh alqobaissi",1992,"Arabic"
"saeed rashed alqubaisi",2008,"Arabic"
"najim alradwan",2004,"Arabic"
"samira alraf",2012,"Arabic"
"khaled alrasheed",1996,"Arabic"
"khaled fahd alrasheed",1984,"Arabic"
"rashid fahd alrasheed",1984,"Arabic"
"obaid alrumaithi",1988,"Arabic"
"abouhalima muhammad alsaid abdallah abouhalima",2012,"Arabic"
"yaaqoub alsaadi",2016,"Arabic"
"omar alsabahi muhammad muhammad emira",2012,"Arabic"
"hussain taher alsabee",2000,"Arabic"
"hussein alsadiq",1992,"Arabic"
"hussein alsadiq",1996,"Arabic"
"jamal abdullah alsaffar",1996,"Arabic"
"abdul wahab naser alsafra",1972,"Arabic"
"ahmed issa alsaleh",1984,"Arabic"
"omar jouma bilal alsalfa",2008,"Arabic"
"mohamed abdullah obaid alsalhi kosgei",2004,"Arabic"
"prince abdullah bin moteb alsaud",2008,"Arabic"
"saleh ahmed alsaydan",1996,"Arabic"
"abdalla alsebaei",1996,"Arabic"
"mohamed alsehly",1976,"Arabic"
"ahmed mohieddine alsghaier",1960,"Arabic"
"sheikr alshabani",1976,"Arabic"
"abdullah alwaked alshahrani",1996,"Arabic"
"prince faisal alshalan",2008,"Arabic"
"raja faradj alshalawi",1976,"Arabic"
"ahmad alshamy",1988,"Arabic"
"ali mohammed alshanqiti",1984,"Arabic"
"hashim alaoui alsharfa",1996,"Arabic"
"abdullah alshaye",1984,"Arabic"
"mohamed alshushe",1984,"Arabic"
"hicham alsiguni",2012,"Arabic"
"hadi souaan alsomaily jaadan",1996,"Arabic"
"mohamed altakroni",1992,"Arabic"
"majed altamimi",2012,"Arabic"
"mohamed rached salem altunaiji",1992,"Arabic"
"said farouk alturki",1972,"Arabic"
"abdullah mohsin alusaimi",1984,"Arabic"
"mohamed alyami",2000,"Arabic"
"salem mubarak m alyami",2000,"Arabic"
"saud alzaabi",2016,"Arabic"
"mahmoud alzabramawi",1976,"Arabic"
"abdullah naser ali alzawayed",1984,"Arabic"
"ayman alaa eldin mohamed fayez",2012,"Arabic"
"mahmoud alaa eldin mahmoud alian",2012,"Arabic"
"smail hakk ala",1936,"Turkey"
"konstantin georgiyevich aladashvili",2002,"Slavic-Russian"
"arif alaftargil",1998,"Turkey"
"atakan alaftargil",2002,"Turkey"
"kunaratnam alagaratnam",1964,"SouthEastAsia"
"metin hizir alako",1968,"Turkey"
"fouad salam alam",1976,"Arabic"
"karim alami",1992,"Arabic"
"salima el ouali alalami",2012,"Arabic"
"nima alamian",2016,"Persian"
"noshad alamian darounkolaei",2012,"Persian"
"ali rza alan",1972,"Turkey"
